"","gene","NC","TAC_NA","TAC_CD63_AS1","cluster","membership","description"
"4042","1110002E22Rik",-0.304794798973438,1.11693101626171,-0.812136217288282,6,0.721646567268168,"RIKEN cDNA 1110002E22 gene"
"4043","1110019D14Rik",-0.259420935857416,1.10414650150359,-0.844725565646173,6,0.822539866511,"RIKEN cDNA 1110019D14 gene"
"4044","1110032A03Rik",0.252658350262468,0.849438634612452,-1.10209698487492,6,0.325978330423895,NA
"4045","1110059E24Rik",0.10790621416679,0.941670911664716,-1.04957712583151,6,0.377316649192361,"RIKEN cDNA 1110059E24 gene"
"4046","1500002F19Rik",-0.508939325041961,1.15209740973548,-0.643158084693517,6,0.367479068036577,"RIKEN cDNA 1500002F19 gene"
"4047","1700120C14Rik",-0.089133933214411,1.04158319338704,-0.952449260172628,6,0.50231078496128,"RIKEN cDNA 1700120C14 gene"
"4048","1700123O20Rik",0.000510363155090218,0.999744720745994,-1.00025508390108,6,0.432697105643696,"RIKEN cDNA 1700123O20 gene"
"4049","2210408F21Rik",-0.192271983308726,1.08217534853922,-0.889903365230488,6,0.647909149138071,"RIKEN cDNA 2210408F21 gene"
"4050","2310030G06Rik",-0.346180232488223,1.12709191654419,-0.780911684055972,6,0.609384968606022,"RIKEN cDNA 2310030G06 gene"
"4051","2610001J05Rik",-0.493639630528639,1.15083305431487,-0.657193423786228,6,0.383898221648167,NA
"4052","2610044O15Rik8",0.690271491961902,0.456515019963002,-1.1467865119249,6,0.230056959998264,NA
"4053","2610301B20Rik",0.221717088984434,0.870533909798724,-1.09225099878316,6,0.335487563824032,NA
"4054","3830406C13Rik",0.103982138542484,0.943946070385728,-1.0479282089282,6,0.379006289345471,NA
"4055","4930453N24Rik",-0.378538550605376,1.13400808803306,-0.755469537427677,6,0.543346347880785,"RIKEN cDNA 4930453N24 gene"
"4056","4930522O17Rik",-0.449634119299439,1.1458881041796,-0.69625398488016,6,0.435742727615839,"RIKEN cDNA 4930522O17 gene"
"4057","4933434E20Rik",0.371064231779489,0.761428021560832,-1.13249225334033,6,0.294444454544365,"RIKEN cDNA 4933434E20 gene"
"4058","6720427I07Rik",0.184070383962985,0.895177333420606,-1.07924771738359,6,0.347994081258351,"RIKEN cDNA 6720427I07 gene"
"4059","9030025P20Rik",-0.153103261006303,1.06772242486804,-0.914619163861737,6,0.57897315675484,NA
"4060","Abce1",-0.322444430752392,1.12144208176492,-0.798997651012521,6,0.669125807634281,"ATP-binding cassette, sub-family E member 1"
"4061","Acot13",-0.418111438191231,1.14119686663726,-0.723085428446024,6,0.478758254961069,"acyl-CoA thioesterase 13"
"4062","Actg1",-0.451913083890217,1.14619070967451,-0.694277625784289,6,0.43285148199463,"actin, gamma, cytoplasmic 1"
"4063","Actn3",-0.410941553546299,1.14000021968906,-0.729058666142758,6,0.489456895711245,"actinin alpha 3"
"4064","Actr10",-0.270629620082285,1.10746176732208,-0.836832147239801,6,0.82263762080369,"ARP10 actin-related protein 10"
"4065","Actr3",-0.0288671041408548,1.01412101209175,-0.985253907950899,6,0.452306953720851,"ARP3 actin-related protein 3"
"4066","Actr6",-0.135433108630732,1.0608144371119,-0.92538132848117,6,0.554347912607707,"ARP6 actin-related protein 6"
